account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,area_code_area_code_415,area_code_area_code_510
68,0,1,29,239.5,82,105,17.32,167.8,70,6,2.67,0,0,1,0
154,0,1,35,64.9,76,91,15.65,151.6,75,1,3.94,1,0,0,0
107,0,0,0,146.9,94,111,9.72,114.5,97,5,3.08,3,0,1,0
182,0,0,0,176.1,90,106,14.87,234.7,134,4,2.62,1,0,1,0
163,0,1,23,160.0,104,64,16.1,229.9,118,7,2.81,1,0,0,1
104,0,0,0,210.9,90,101,23.14,304.3,86,5,2.86,3,1,1,0
74,1,0,0,125.8,103,96,17.65,207.4,143,4,3.81,1,1,0,1
131,0,0,0,136.8,84,81,15.25,235.2,151,3,1.35,2,0,0,0
100,0,0,0,222.1,115,130,20.83,129.3,119,2,2.19,2,0,0,1
110,0,0,0,170.1,87,98,18.41,225.0,88,3,2.92,2,0,1,0
35,0,1,27,241.7,87,101,12.07,288.9,68,4,2.54,1,0,0,1
85,0,0,0,126.1,112,126,23.35,184.4,95,4,2.65,1,0,1,0
72,0,0,0,175.5,103,120,11.25,242.9,96,3,3.19,1,0,1,0
92,0,0,0,176.3,85,125,7.94,207.2,107,1,2.59,2,0,0,1
78,1,0,0,71.5,126,127,14.18,211.6,86,2,2.24,3,1,1,0
130,0,0,0,150.4,119,99,19.59,186.3,76,4,3.32,1,0,1,0
119,0,0,0,230.4,117,101,19.13,198.5,111,6,2.05,3,0,1,0
62,0,0,0,238.9,102,115,13.72,248.5,103,4,3.62,0,0,1,0
118,0,1,26,170.8,114,125,16.96,169.7,98,5,2.59,5,1,1,0
68,0,0,0,143.6,80,65,11.42,215.6,84,5,4.19,2,0,0,1
167,0,0,0,94.9,114,105,26.84,181.0,71,6,2.92,0,0,1,0
155,0,0,0,216.7,30,125,12.27,135.3,106,1,2.92,2,0,0,0
144,0,0,0,201.1,99,74,25.8,224.0,119,2,3.56,1,0,1,0
47,0,1,27,165.0,89,118,10.82,284.4,95,4,2.08,2,0,1,0
142,0,0,0,216.8,134,106,15.96,138.1,108,2,2.24,0,0,0,0
67,0,0,0,176.2,120,138,20.06,152.5,104,4,2.86,1,0,0,0
67,0,1,36,115.6,111,94,20.2,169.9,103,12,2.67,2,0,0,0
57,1,0,0,227.4,94,115,12.44,211.4,92,5,2.24,1,0,1,0
54,0,0,0,199.8,94,112,26.18,162.6,99,4,2.73,0,0,0,0
182,0,0,0,69.1,114,109,19.58,256.7,96,4,1.76,0,0,1,0
108,0,0,0,201.1,101,86,14.51,237.4,113,3,3.13,3,0,1,0
73,0,0,0,286.4,109,67,15.15,214.2,152,14,2.89,1,1,0,0
132,0,0,0,172.7,90,62,29.24,301.6,113,4,1.49,0,0,1,0
41,0,1,24,247.6,97,106,16.97,217.7,91,6,3.27,1,0,1,0
103,0,0,0,158.7,90,117,16.86,181.1,76,4,2.84,1,0,1,0
105,0,1,21,147.0,112,43,16.77,267.4,93,3,2.35,2,0,1,0
120,0,0,0,252.0,120,106,12.77,151.8,96,1,2.59,2,0,1,0
131,0,0,0,166.5,129,107,17.87,257.2,93,5,2.67,1,0,1,0
97,1,0,0,145.0,103,93,25.02,239.8,120,2,2.97,4,1,0,1
38,1,0,0,211.6,87,68,9.09,239.2,99,11,3.81,0,1,1,0
126,1,1,26,129.3,123,114,15.0,154.5,102,7,2.59,1,0,1,0
136,0,0,0,92.0,117,77,21.56,214.1,90,10,2.78,1,0,0,1
109,0,0,0,264.7,69,120,25.93,197.4,86,9,2.57,1,1,0,0
122,0,0,0,170.5,94,109,14.76,248.6,75,2,3.05,1,0,0,0
183,0,0,0,190.0,100,78,20.96,304.2,107,4,2.57,1,0,1,0
94,0,1,38,170.1,124,116,16.43,105.9,73,4,3.46,1,0,0,0
102,0,0,0,103.1,70,129,23.38,141.1,92,5,3.02,1,0,0,1
61,0,0,0,45.0,108,74,12.86,152.9,94,6,2.65,2,0,0,0
108,0,0,0,133.1,52,103,21.79,247.2,118,3,3.21,3,0,1,0
61,0,0,0,7.2,97,78,18.85,174.5,94,4,3.24,1,0,0,1
176,0,0,0,201.9,101,78,13.15,164.4,79,2,2.43,1,0,0,0
82,0,0,0,217.6,82,101,14.4,248.9,124,3,3.43,0,0,0,0
62,0,0,0,98.9,103,122,11.51,236.6,82,1,3.29,1,0,1,0
152,0,1,26,214.8,82,135,19.27,206.7,97,11,2.05,1,0,0,0
225,0,0,0,165.4,106,109,23.26,210.0,93,3,2.35,0,1,1,0
110,0,0,0,220.9,100,76,23.77,239.8,107,9,3.65,1,1,0,1
65,0,0,0,245.7,139,113,20.56,285.3,117,5,1.13,4,1,1,0
85,0,0,0,274.7,79,122,10.15,296.9,74,10,2.54,1,0,1,0
138,0,0,0,217.2,73,127,16.22,133.5,97,3,1.4,4,0,1,0
88,0,0,0,202.6,139,123,17.91,81.1,86,8,2.65,1,0,0,1
149,0,0,0,114.5,103,100,19.45,135.8,74,3,2.89,0,0,1,0
161,1,0,0,189.6,78,117,22.73,184.5,137,6,0.35,1,0,1,0
98,0,0,0,237.5,130,85,18.12,194.1,107,3,2.73,0,0,1,0
85,0,1,30,173.1,107,101,21.01,158.7,104,5,3.11,1,0,0,0
50,1,1,26,307.1,94,78,24.6,174.9,109,3,2.16,0,0,1,0
71,0,1,22,141.4,107,105,13.86,220.0,99,3,1.51,2,0,0,1
44,0,0,0,204.6,117,94,17.44,164.6,84,5,2.89,0,0,0,0
116,0,0,0,211.3,91,116,16.23,184.1,134,4,1.7,2,0,0,0
124,0,0,0,312.0,112,109,15.3,168.6,94,4,3.46,1,1,1,0
64,0,1,19,291.1,150,123,19.27,219.1,67,2,2.03,1,0,0,0
159,0,0,0,198.8,107,91,16.62,213.3,120,7,4.46,5,0,0,1
138,1,0,0,46.5,104,114,15.81,167.5,95,4,2.59,4,1,0,1
120,0,1,43,177.9,117,70,14.88,161.3,117,4,3.11,1,0,0,1
127,0,1,27,2.6,113,102,21.59,242.7,156,5,2.48,3,0,0,1
76,0,0,0,193.0,82,109,17.07,135.9,79,3,3.89,0,0,0,0
65,1,0,0,277.9,123,112,13.24,256.9,71,10,2.48,0,1,1,0
94,0,0,0,252.6,104,125,14.37,170.9,106,7,3.0,2,0,1,0
170,0,0,0,285.7,44,144,14.24,260.0,97,4,2.35,1,1,1,0
127,0,0,0,145.0,106,99,19.58,164.9,103,3,3.43,1,0,1,0
101,0,0,0,158.4,92,117,15.98,219.7,125,4,3.65,4,1,1,0
101,0,1,16,118.9,112,97,19.41,180.1,111,5,2.21,2,0,0,0
134,0,0,0,7.8,86,100,14.57,186.5,80,2,3.48,2,0,1,0
95,0,1,27,190.8,76,104,15.09,227.3,95,1,1.59,2,0,1,0
76,0,0,0,169.5,77,87,10.54,219.4,92,3,2.7,0,0,1,0
113,0,0,0,128.7,100,67,19.3,178.1,135,4,2.48,2,1,0,1
39,0,0,0,121.6,99,99,22.75,99.7,88,2,1.92,1,0,0,1
58,0,1,28,236.8,89,91,13.46,212.3,97,3,2.16,2,0,1,0
109,0,0,0,175.6,80,94,20.23,198.4,103,6,2.75,1,0,1,0
94,0,0,0,226.6,119,111,16.98,219.4,141,2,3.16,3,0,0,0
84,0,1,35,207.5,138,116,17.09,164.5,107,16,2.03,4,0,1,0
146,0,0,0,115.6,77,100,18.16,218.4,72,6,2.89,1,0,0,1
66,0,0,0,128.2,109,112,23.33,211.0,90,4,2.19,0,0,0,0
132,0,0,0,163.2,80,90,14.25,87.5,90,10,1.67,1,0,0,1
102,0,0,0,171.6,116,111,18.65,242.1,85,4,3.27,0,1,0,1
143,0,0,0,119.1,117,136,24.45,223.0,100,4,3.29,0,0,1,0
53,0,0,0,184.8,98,125,18.39,141.1,116,3,4.97,2,0,1,0
139,0,0,0,165.0,132,86,21.22,170.3,128,8,3.4,1,0,1,0
105,0,1,33,209.6,68,140,12.49,121.0,131,3,2.86,2,0,0,0
116,0,0,0,110.9,54,82,18.14,186.2,116,2,2.13,2,0,0,0
141,0,0,0,146.5,121,125,14.44,238.8,112,5,2.21,0,0,0,1
78,1,0,0,176.6,107,98,15.25,178.2,80,5,4.48,2,1,1,0
52,1,0,0,144.5,60,129,25.2,194.3,117,3,3.35,1,0,0,0
90,0,1,30,191.3,104,109,21.85,177.7,89,1,2.97,1,0,1,0
85,0,0,0,259.8,85,117,20.6,168.8,72,1,1.46,0,0,1,0
65,0,0,0,189.3,74,90,17.45,228.2,78,13,2.3,3,0,1,0
34,0,0,0,210.4,75,108,17.43,230.5,129,2,3.38,1,0,1,0
130,0,0,0,211.4,91,62,16.24,207.3,109,3,3.13,1,0,1,0
100,0,1,25,215.9,90,92,21.92,180.2,157,4,3.13,1,0,1,0
119,0,0,0,154.5,129,87,16.46,180.9,145,3,3.62,2,0,0,1
55,0,0,0,175.6,147,118,13.75,289.5,55,4,2.51,0,0,1,0
110,0,1,38,236.3,102,112,16.65,183.5,82,6,2.62,1,0,1,0
52,0,0,0,217.0,104,83,12.95,134.3,109,4,3.19,2,0,0,0
103,0,0,0,278.4,121,139,21.44,202.3,96,1,3.7,1,1,1,0
173,1,1,18,127.2,89,114,11.11,229.7,115,5,3.02,2,0,1,0
64,0,0,0,97.2,80,90,15.83,189.0,92,6,2.81,2,0,1,0
117,0,1,20,205.7,98,107,11.57,159.4,147,3,2.35,2,0,0,1
112,1,0,0,217.6,110,105,16.63,178.8,106,8,2.81,2,0,1,0
151,0,0,0,175.3,106,87,12.27,160.2,88,5,3.19,0,0,0,0
74,0,0,0,203.8,77,111,17.43,154.9,109,2,2.43,1,0,0,1
149,0,1,20,264.4,102,123,18.67,200.4,89,3,3.05,2,0,1,0
131,0,0,0,197.0,79,114,17.09,151.2,111,5,3.13,1,0,0,0
33,0,0,0,159.5,115,118,16.61,102.4,86,7,1.92,1,0,0,0
73,0,1,31,82.3,105,91,21.77,229.6,98,2,3.19,6,1,1,0
62,0,0,0,116.5,77,111,15.82,180.6,72,2,4.35,3,0,1,0
112,0,0,0,189.4,83,89,18.62,168.0,116,8,1.92,3,0,0,1
117,0,0,0,144.6,115,66,22.0,253.2,113,9,2.0,2,0,1,0
64,0,0,0,168.0,116,94,16.35,166.5,98,3,2.73,2,0,1,0
105,0,0,0,115.5,73,83,22.72,114.2,90,5,3.59,3,0,0,0
125,0,0,0,137.1,94,83,17.83,238.4,114,4,2.32,1,0,0,0
178,0,1,35,175.4,88,65,16.15,138.7,94,3,2.84,2,0,1,0
170,0,0,0,246.4,107,124,19.39,166.4,95,8,2.46,0,0,1,0
96,0,1,18,262.9,57,107,16.17,293.5,103,4,3.19,3,0,1,0
138,1,0,0,268.4,81,115,14.82,193.5,96,4,3.13,1,0,0,0
56,0,0,0,222.7,133,89,23.55,101.8,94,4,3.67,4,0,1,0
133,1,0,0,254.7,103,80,21.44,178.1,103,3,2.16,0,1,0,0
91,0,1,44,216.6,101,98,14.71,242.1,95,3,2.46,1,0,0,0
78,0,1,32,210.3,116,83,16.34,246.1,92,4,2.92,6,0,0,1
73,0,0,0,177.9,89,82,11.15,186.2,89,6,3.11,3,0,0,0
122,0,0,0,144.2,87,74,18.04,169.3,87,4,2.57,0,0,0,1
196,0,0,0,234.0,109,114,21.21,173.1,70,5,2.46,2,0,1,0
94,0,0,0,118.7,90,57,17.43,172.2,100,6,2.81,3,0,0,0
76,0,0,0,263.4,148,69,19.58,170.6,101,5,3.08,1,1,1,0
51,0,1,28,276.7,121,99,17.31,246.2,88,3,2.24,0,0,0,1
152,0,1,20,214.6,108,82,8.21,170.7,145,5,2.13,1,0,0,1
99,0,0,0,155.3,93,95,22.58,145.7,67,4,3.35,0,0,0,0
52,0,0,0,153.7,100,139,14.81,242.3,53,3,3.81,1,0,0,1
113,0,1,23,205.0,101,60,12.92,158.6,59,5,2.75,2,0,1,0
161,0,0,0,165.4,88,111,17.82,270.7,129,3,2.84,4,0,0,0
33,0,1,16,125.1,56,140,20.96,235.4,109,2,3.27,0,0,0,1
166,0,0,0,220.7,106,118,15.11,206.1,102,9,3.35,1,0,1,0
110,0,0,0,192.6,102,118,15.21,214.6,74,4,2.54,1,0,0,0
125,0,0,0,184.1,105,123,10.77,241.5,94,6,1.27,1,0,0,1
122,0,0,0,190.0,125,77,12.03,216.8,68,3,4.29,3,0,0,1
100,0,1,20,123.7,98,125,17.07,181.0,118,5,2.59,1,0,1,0
95,1,0,0,165.5,84,112,24.33,198.9,89,2,3.11,1,1,1,0
78,0,0,0,252.9,93,112,15.16,263.9,105,7,2.57,3,0,1,0
91,0,1,31,273.0,78,98,18.32,104.7,114,2,2.59,1,0,0,0
153,0,0,0,154.6,56,84,22.36,367.7,89,2,4.19,1,0,0,0
136,0,0,0,121.5,80,97,18.71,179.5,94,5,2.81,1,0,1,0
39,0,1,17,230.7,122,85,17.6,208.9,73,1,2.48,3,0,1,0
65,0,0,0,144.3,109,89,28.16,155.3,69,15,3.19,3,0,1,0
38,0,0,0,175.7,109,97,18.0,137.9,109,3,2.48,5,1,0,1
74,0,0,0,177.4,136,104,20.43,237.3,133,3,3.24,0,0,0,0
89,0,0,0,82.3,77,80,14.21,194.7,70,4,1.94,1,0,1,0
182,0,0,0,104.9,111,120,16.87,258.2,91,5,2.16,2,0,1,0
78,0,0,0,87.7,74,58,18.26,201.3,147,6,2.92,1,0,1,0
88,0,0,0,264.8,124,112,20.86,160.5,115,2,4.0,1,1,1,0
86,0,0,0,150.5,92,95,10.23,271.2,96,2,2.43,1,0,0,1
94,0,0,0,195.1,105,100,23.15,142.7,102,16,3.11,1,0,1,0
128,1,0,0,245.2,112,101,8.63,152.3,116,5,2.89,0,0,0,0
158,0,0,0,202.0,126,86,13.9,195.4,84,6,2.81,1,0,0,0
92,0,0,0,185.9,111,93,18.43,231.0,58,2,2.3,1,0,0,1
93,0,0,0,328.1,106,89,12.89,303.5,114,3,2.35,1,1,0,1
112,0,1,22,181.8,110,123,19.39,262.7,141,4,2.48,2,0,1,0
123,0,0,0,211.0,92,102,18.45,214.8,104,7,2.65,3,0,1,0
120,0,1,23,221.9,114,84,21.65,250.5,117,5,1.94,2,0,1,0
111,0,0,0,123.1,88,84,18.18,184.9,88,2,3.24,5,1,0,1
79,0,0,0,121.3,112,107,24.04,123.1,83,4,2.0,1,0,0,1
133,0,0,0,338.4,86,97,19.94,264.8,139,4,4.0,3,1,0,1
100,0,0,0,303.0,93,89,14.93,135.2,102,5,2.81,1,1,1,0
57,0,1,25,182.4,92,104,18.25,174.4,110,2,2.73,1,0,1,0
72,0,0,0,207.8,92,110,16.63,184.8,124,4,3.54,0,0,1,0
112,0,1,27,213.0,121,101,19.23,189.8,99,3,3.0,4,0,1,0
123,0,1,34,305.2,80,109,13.3,280.0,81,7,3.56,1,0,1,0
171,0,0,0,189.8,122,85,14.76,257.1,84,1,2.78,0,0,0,1
113,0,0,0,150.1,120,85,17.01,266.7,105,3,2.97,2,0,0,1
149,0,0,0,242.5,83,97,20.86,219.6,80,3,2.7,3,1,1,0
52,0,0,0,204.4,97,128,23.22,179.6,118,5,2.97,1,0,1,0
129,0,1,31,193.0,99,87,19.11,197.6,91,8,2.78,2,0,0,1
133,0,0,0,173.1,126,98,17.0,231.0,103,1,2.92,1,0,1,0
21,0,0,0,223.2,142,114,18.4,214.7,111,2,3.35,1,0,1,0
105,0,0,0,146.4,81,80,19.13,230.1,117,2,2.3,1,0,0,0
49,0,0,0,260.9,88,103,14.81,262.8,98,4,2.86,1,0,0,0
121,0,1,41,215.5,95,92,20.55,147.0,108,3,2.59,1,0,1,0
112,0,0,0,214.8,112,104,17.82,164.4,97,5,2.54,3,0,1,0
79,0,0,0,213.4,107,82,14.98,180.1,125,4,2.13,0,0,1,0
63,0,1,32,30.9,113,113,15.9,230.8,101,7,2.32,1,0,1,0
99,0,0,0,128.8,86,105,17.33,282.6,131,4,3.81,2,0,0,0
104,0,0,0,142.6,88,96,7.26,246.4,80,4,3.78,1,0,0,1
70,0,0,0,222.8,114,113,18.35,223.5,122,0,0.0,1,0,1,0
108,0,0,0,221.8,105,107,9.2,207.1,87,3,3.27,2,0,1,0
81,0,1,33,161.6,117,90,10.46,261.3,101,5,3.29,1,0,1,0
117,0,0,0,201.9,86,96,18.05,176.9,98,10,2.11,1,0,1,0
72,0,0,0,139.9,117,96,19.01,240.8,93,4,3.43,2,0,1,0
130,0,0,0,271.8,129,128,20.16,210.1,91,2,2.35,4,1,0,0
138,0,0,0,146.5,101,142,24.18,176.0,98,6,3.78,3,0,0,1
81,0,1,46,168.3,124,103,23.03,222.5,98,2,1.81,4,0,0,0
13,0,0,0,146.4,74,92,12.62,216.7,96,3,3.05,1,0,1,0
137,0,0,0,109.8,112,88,19.0,247.5,96,2,4.81,1,0,0,1
16,0,0,0,161.9,100,138,19.56,148.8,78,11,2.75,3,0,1,0
136,0,0,0,110.2,92,109,18.65,188.1,67,4,3.32,2,0,1,0
15,0,0,0,135.2,101,79,12.96,224.8,83,5,2.27,2,0,1,0
93,1,1,20,187.5,110,94,14.43,175.3,127,4,3.27,1,0,1,0
42,0,1,32,163.8,80,123,15.11,190.4,106,5,2.19,0,0,1,0
87,0,0,0,171.6,119,107,17.43,170.6,114,4,3.73,0,0,1,0
128,0,0,0,268.1,95,126,10.24,220.8,121,6,3.89,2,0,0,1
69,0,1,40,77.0,106,94,13.74,188.6,82,6,3.38,1,0,0,1
130,0,0,0,139.1,72,112,20.91,207.2,121,9,3.08,5,0,0,1
87,0,0,0,189.5,113,100,17.42,221.7,93,3,3.62,1,0,0,1
110,0,1,40,202.6,103,128,10.1,234.9,98,9,2.43,2,0,0,0
44,0,0,0,308.6,139,94,12.82,198.7,66,3,1.97,4,1,1,0
84,0,0,0,203.4,125,88,15.55,213.7,121,2,3.73,1,0,0,1
69,1,0,0,199.7,121,92,16.1,264.0,120,4,3.0,6,1,0,1
139,0,0,0,102.2,76,106,19.55,183.4,136,4,2.92,1,0,1,0
96,0,0,0,180.6,92,114,16.23,295.6,125,4,2.78,1,1,1,0
137,1,0,0,312.4,110,73,19.64,120.1,78,2,2.86,1,1,0,0
161,0,1,39,218.5,76,94,9.58,205.1,121,4,1.97,1,0,1,0
7,0,0,0,206.7,87,83,23.89,158.5,77,5,2.97,3,0,1,0
52,0,1,20,133.3,63,123,15.65,272.9,107,2,3.65,1,0,0,1
48,0,0,0,198.2,108,70,15.39,238.9,86,2,3.27,1,0,0,1
52,0,0,0,288.2,108,136,11.02,229.6,73,5,2.59,4,0,0,0
78,0,0,0,147.1,80,100,16.97,160.7,106,7,3.7,0,0,1,0
93,0,1,23,196.0,91,107,13.29,200.5,68,2,4.13,1,0,0,1
40,1,1,21,147.4,117,110,22.34,202.0,97,5,2.94,0,0,1,0
54,0,0,0,286.6,73,108,18.97,203.7,107,5,3.11,1,1,1,0
112,0,0,0,193.3,96,123,22.45,128.6,115,3,2.46,4,0,1,0
125,0,0,0,168.6,99,107,14.93,243.3,92,7,2.94,0,0,0,1
119,0,0,0,287.1,83,124,18.56,151.5,42,4,2.97,1,1,0,0
112,0,1,16,221.6,110,123,11.07,200.0,108,3,3.05,1,0,1,0
43,0,0,0,179.3,97,126,21.48,227.5,114,5,2.16,0,0,1,0
123,0,1,39,270.4,99,110,20.83,108.9,113,7,4.16,1,0,0,0
68,0,0,0,237.1,105,105,19.0,97.4,79,2,3.56,1,0,0,0
139,1,0,0,161.5,121,137,16.4,168.3,96,13,3.02,0,0,1,0
77,0,0,0,205.3,69,84,14.54,242.4,96,2,2.73,3,0,1,0
24,0,0,0,156.2,104,101,7.65,205.1,116,5,1.97,1,0,1,0
70,0,0,0,229.3,110,89,10.05,155.0,105,4,2.13,1,0,1,0
130,0,0,0,182.1,136,99,17.36,355.1,135,7,3.24,2,0,1,0
88,0,0,0,142.2,107,84,22.3,139.2,99,5,2.73,1,0,0,0
98,0,1,22,278.3,89,143,7.94,107.6,42,5,2.62,0,0,1,0
80,0,0,0,157.1,77,69,25.67,317.9,159,4,4.21,0,0,0,1
64,0,1,19,180.1,106,92,10.84,237.4,118,3,2.03,0,0,0,0
104,0,0,0,280.4,127,79,15.25,150.6,77,6,4.1,5,0,0,0
66,0,0,0,145.6,105,82,21.33,156.6,102,7,3.29,1,0,1,0
51,0,0,0,180.5,88,102,11.45,170.7,97,3,2.7,2,0,1,0
148,0,0,0,216.2,95,105,15.78,300.0,143,5,2.7,2,0,0,1
105,0,0,0,119.3,82,111,15.73,157.0,74,4,2.94,2,0,0,1
60,0,0,0,221.1,106,48,15.18,202.7,90,3,2.0,1,0,0,1
134,0,0,0,141.7,95,101,17.48,218.5,60,6,2.38,0,0,1,0
54,0,0,0,273.8,113,156,10.17,267.6,117,3,3.16,1,0,1,0
126,0,0,0,190.9,143,72,12.72,191.4,87,3,3.51,1,0,1,0
28,0,0,0,171.2,90,65,14.78,210.5,139,4,3.78,2,0,1,0
101,0,0,0,239.0,156,106,23.21,278.2,93,8,3.65,1,1,0,0
77,0,0,0,184.7,130,105,16.49,249.1,91,4,2.43,1,0,1,0
59,0,0,0,182.5,104,95,17.4,229.9,100,8,3.05,4,0,0,1
121,0,1,26,170.4,91,90,21.63,219.6,122,5,4.08,0,0,0,1
62,0,0,0,86.3,84,99,20.29,238.4,79,1,3.38,2,0,1,0
66,1,0,0,208.7,84,88,14.73,264.7,107,3,2.24,3,0,1,0
62,0,0,0,147.1,91,107,16.18,195.2,115,3,3.29,0,0,1,0
50,0,0,0,157.1,90,72,18.98,181.4,111,2,1.65,1,0,1,0
46,0,0,0,124.8,133,143,13.37,199.3,72,4,2.32,2,0,1,0
71,0,0,0,258.4,132,119,10.78,182.4,87,8,2.62,4,0,1,0
117,0,0,0,239.9,84,106,14.86,209.5,93,2,2.65,0,0,0,0
36,0,0,0,178.6,83,103,18.11,198.0,119,5,2.94,1,0,0,1
113,0,0,0,72.5,88,112,17.34,117.9,118,3,1.78,1,0,0,1
102,0,1,25,137.4,100,83,15.02,188.2,93,6,2.75,2,0,1,0
102,0,0,0,167.1,80,94,18.95,179.9,103,3,3.13,5,0,0,0
56,0,0,0,210.4,80,96,15.01,149.7,56,4,4.19,1,0,0,0
95,0,1,35,238.3,86,132,21.94,194.9,72,4,3.54,5,0,1,0
93,0,0,0,152.1,141,107,18.32,262.4,111,7,3.24,1,0,1,0
127,1,0,0,143.2,60,159,15.26,171.8,122,4,1.67,4,1,1,0
162,0,1,26,179.7,144,129,18.54,212.3,105,8,2.51,1,1,0,0
124,1,0,0,157.8,71,114,17.27,168.7,82,2,2.7,3,1,0,1
132,0,0,0,197.8,66,119,11.38,177.3,94,3,2.94,4,1,1,0
110,0,1,34,192.3,114,114,10.99,136.3,102,12,1.7,1,0,0,0
143,0,0,0,172.3,97,108,14.79,188.2,119,4,3.51,2,0,1,0
135,0,1,18,180.1,90,65,12.96,258.2,85,9,3.43,1,0,0,1
61,0,0,0,88.1,60,108,11.02,169.0,87,4,3.59,2,0,0,1
130,0,1,26,257.2,108,122,19.07,204.0,118,4,3.4,1,0,0,1
93,0,0,0,152.4,74,88,23.34,252.2,120,5,1.78,3,0,0,0
127,0,1,29,136.1,146,105,25.72,163.1,116,2,5.0,2,0,1,0
59,0,0,0,151.8,98,92,17.84,266.9,86,5,3.21,1,0,0,0
183,0,0,0,108.3,87,116,15.61,176.6,109,2,3.65,0,0,0,1
83,0,1,37,78.5,109,101,17.89,179.7,102,4,3.19,1,0,1,0
104,0,0,0,304.0,141,127,22.45,138.1,104,4,1.94,0,1,1,0
107,0,0,0,114.9,119,91,20.37,165.3,112,5,3.4,2,0,0,0
111,0,0,0,184.2,92,96,18.28,100.1,64,4,3.05,1,0,0,1
60,0,0,0,190.8,100,85,16.66,151.7,110,9,2.67,0,0,0,1
111,0,0,0,132.6,125,67,18.79,127.9,101,2,3.43,4,1,1,0
62,0,1,42,137.3,95,94,15.66,231.4,70,3,2.75,0,0,0,0
165,0,0,0,207.7,109,94,14.01,54.5,91,3,2.13,0,0,1,0
65,0,0,0,143.6,98,96,15.95,200.2,104,2,2.51,3,1,1,0
116,0,0,0,229.3,93,111,15.68,168.2,91,3,2.38,2,0,0,1
55,0,1,28,105.3,82,109,16.78,187.5,91,6,2.32,2,0,1,0
148,0,1,36,77.6,141,60,17.6,255.7,115,2,2.94,1,0,1,0
48,0,1,22,152.0,63,131,22.0,263.2,109,5,4.24,2,1,0,1
67,0,0,0,109.1,117,124,18.48,188.4,141,6,3.46,0,0,1,0
100,0,1,26,153.7,115,146,11.71,213.5,104,5,4.29,1,0,1,0
108,0,0,0,157.3,83,75,13.84,112.0,101,4,2.62,1,0,1,0
79,0,0,0,261.7,97,48,17.9,256.7,83,3,1.62,3,1,0,0
82,0,0,0,172.4,112,89,11.19,182.8,78,9,2.38,1,0,1,0
64,0,1,43,118.4,100,108,12.25,158.1,91,6,2.3,1,0,1,0
93,0,0,0,266.0,120,84,11.06,165.8,63,6,3.54,3,0,1,0
81,0,0,0,173.2,80,94,20.08,240.2,84,6,3.19,2,0,1,0
47,1,1,31,140.6,114,44,22.49,238.7,121,4,2.62,2,0,1,0
139,0,0,0,148.7,90,106,17.37,144.1,105,4,2.65,2,0,0,1
80,0,0,0,113.2,86,97,15.77,237.3,145,5,2.57,1,0,1,0
164,1,1,28,156.1,98,140,17.84,190.0,69,4,3.08,0,0,0,0
119,0,1,32,142.6,77,126,17.7,171.0,102,2,3.24,3,0,0,0
158,0,0,0,245.1,68,100,16.64,244.2,80,4,3.11,2,0,0,1
57,0,0,0,158.1,117,149,9.79,182.4,92,7,3.19,0,0,1,0
63,0,0,0,185.3,87,87,19.15,194.3,93,3,3.16,0,0,0,1
76,0,0,0,143.7,55,108,14.71,239.1,95,6,1.57,1,0,1,0
55,0,0,0,286.7,100,121,11.42,192.9,122,5,1.86,2,0,0,1
42,0,0,0,251.1,81,106,15.16,184.6,90,5,3.43,0,0,1,0
77,0,0,0,168.1,83,91,17.17,173.2,91,3,2.7,3,0,0,0
124,0,0,0,150.3,101,112,21.75,136.7,62,4,3.38,2,0,1,0
65,1,0,0,54.8,74,93,20.38,214.4,91,5,3.62,1,1,0,0
174,0,0,0,239.2,72,124,16.02,105.6,116,3,2.38,1,0,1,0
92,0,1,38,242.2,96,144,13.57,210.0,108,1,2.4,1,0,0,0
129,0,0,0,186.0,127,96,22.3,98.9,63,6,3.11,4,0,0,0
58,0,1,47,151.1,117,103,11.68,172.6,99,8,2.48,1,0,0,0
84,0,0,0,146.8,133,73,14.59,234.5,69,3,2.67,1,0,0,0
154,0,0,0,162.0,87,147,16.96,243.0,66,5,0.3,1,0,1,0
143,0,0,0,133.4,107,117,19.03,180.4,85,13,2.75,1,0,0,1
77,0,0,0,124.1,92,131,18.27,241.3,132,3,3.7,0,0,0,1
113,0,0,0,215.5,129,117,18.59,207.1,91,9,1.78,4,0,1,0
83,0,1,41,155.9,122,107,13.8,127.6,105,5,3.54,3,0,1,0
36,0,1,43,29.9,123,117,10.97,325.9,105,6,2.32,2,0,0,0
116,0,0,0,199.7,76,104,8.37,220.1,108,6,3.7,1,0,1,0
165,0,0,0,150.5,75,93,16.41,311.6,93,2,2.78,1,0,0,0
95,0,0,0,167.6,96,89,14.96,250.9,113,6,3.62,2,0,1,0
131,0,0,0,240.9,108,91,14.23,322.2,109,8,3.97,3,0,0,0
94,0,0,0,139.1,93,100,20.22,227.1,59,3,3.08,1,0,0,0
82,0,1,34,232.6,121,115,13.02,286.7,77,3,1.27,3,0,0,1
78,0,1,27,121.9,88,75,19.16,90.8,118,4,3.51,3,0,1,0
86,0,1,16,145.7,88,129,16.24,215.5,82,7,3.05,0,0,0,0
